측정소명,년/월/일,회차,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),클로로필 a(㎎/㎥),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,페놀류(㎎/L),전기전도도(μS/㎝),총대장균군수(총대장균군수/100ml),카드뮴(㎎/L),시안(㎎/L),납(㎎/L),6가크롬(㎎/L),비소(㎎/L),수은(㎎/L),구리(㎎/L),아연(㎎/L),크롬(㎎/L),니켈(㎎/L),바륨(㎎/L),셀레늄(㎎/L),용존총질소(㎎/L),암모니아성 질소(㎎/L),질산성 질소(㎎/L),용존총인(㎎/L),인산염인(㎎/L),SS(㎎/L),헥사클로로벤젠 (㎍/L),분원성대장균군수,불소(㎎/L),색도(㎎/L),노말헥산추출물질(㎎/L),용해성망간(㎎/L),용해성철(㎎/L),음이온계면활성제(㎎/L),테트라클로로에틸렌(㎎/L),테트라클로로에틸렌(㎎/L).1,사염화탄소,1.2-디클로로에탄(㎎/L),디클로로메탄(㎎/L),벤젠(㎎/L),폴리크로리네이티트비페닐(㎎/L),유기인(㎎/L),안티몬 (㎎/L),클로로포름 (㎎/L),디에틸헥실프탈레이트 (㎎/L),1.4-다이옥세인 (㎎/L),투명도(m),유량(㎥/s),포름알데히드(㎎/L)
승촌보,2013-01-15,3회차,,4.3,12.2,3.6,7.2,12.1,7.662999999999999,0.133,4.7,6.6,0.0,433,1400,,,,,,,,,,,,,7.313,3.612,3.3310000000000004,0.102,0.086,4.5,,32,,,,,,,,,,,,,,,,,,,,12.527999999999999,
승촌보,2013-01-23,4회차,,5.9,10.6,4.1,8.2,17.3,7.319,0.172,5.6,7.1,0.0,398,13200,,,,,,,,,,,,,7.282,3.977,2.483,0.11900000000000001,0.107,10.4,,1100,,,,,,,,,,,,,,,,,,,,25.75,
승촌보,2013-01-28,5회차,,3.3,13.1,3.7,8.5,23.0,5.817,0.11199999999999999,4.8,7.3,0.0,374,6200,,,,,,,,,,,,,5.535,2.5180000000000002,2.497,0.084,0.078,6.5,,114,,,,,,,,,,,,,,,,,,,,16.792,
죽산보,2013-02-05,1회차,,6.2,10.4,3.0,6.6,15.9,5.766,0.145,3.2,8.1,0.0,335,6400,,,,,,,,,,,,,5.441,2.01,2.387,0.12,0.11,10.4,,140,,,,,,,,,,,,,,,,,,,,,
승촌보,2013-02-06,1회차,,5.8,9.9,4.9,5.9,5.8,4.813,0.168,5.3,7.2,0.0,249,74000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.7669999999999995,1.8630000000000002,2.11,0.139,0.125,16.0,,7400,,,,,,0.0,,,,,,,,,,,,,,56.59,
승촌보,2013-02-12,2회차,,3.2,11.9,4.1,7.2,2.6,5.59,0.152,4.4,7.2,0.0,294,15000,,,,,,,,,,,,,5.54,2.679,2.5180000000000002,0.126,0.109,8.4,,1500,,,,,,,,,,,,,,,,,,,,20.486,
승촌보,2013-02-18,3회차,,5.3,10.8,2.2,5.8,4.1,5.937,0.131,4.0,7.2,0.0,305,10400,,,,,,,,,,,,,5.91,2.963,2.41,0.094,0.085,4.5,,60,,,,,,,,,,,,,,,,,,,,26.243000000000002,
승촌보,2013-02-25,4회차,,5.6,11.5,1.8,5.7,5.5,4.445,0.09,3.8,7.2,0.0,274,4800,,,,,,,,,,,,,4.055,2.083,1.76,0.063,0.055999999999999994,4.0,,6,,,,,,,,,,,,,,,,,,,,20.458,
죽산보,2013-03-05,1회차,,8.1,15.1,3.4,6.2,55.7,4.622,0.07400000000000001,2.6,8.2,0.0,246,260,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,4.544,2.05,2.205,0.054000000000000006,0.052000000000000005,7.6,,14,,,,,,0.0,,,,,,,,,,,,,,,
승촌보,2013-03-07,1회차,,9.2,13.5,5.7,10.5,96.4,6.29,0.20800000000000002,6.5,7.2,0.0,376,1300,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.189,3.452,2.463,0.036000000000000004,0.013000000000000001,11.3,,10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,10.118,
승촌보,2013-03-12,2회차,,13.3,14.7,6.5,12.9,80.7,8.265,0.18,7.0,8.2,0.0,386,9200,,,,,,,,,,,,,6.752999999999999,4.13,2.351,0.03,0.009000000000000001,11.2,,360,,,,,,,,,,,,,,,,,,,,9.5,
승촌보,2013-03-19,3회차,,13.2,8.8,6.7,11.3,23.6,3.866,0.16899999999999998,5.7,7.1,0.0,210,76000,,,,,,,,,,,,,3.681,1.128,2.504,0.114,0.1,37.0,,18000,,,,,,,,,,,,,,,,,,,,93.5,
승촌보,2013-03-27,4회차,,12.9,12.6,3.9,6.9,46.9,5.522,0.113,5.3,7.6,0.0,300,1400,,,,,,,,,,,,,5.303,2.8739999999999997,2.149,0.064,0.048,8.0,,132,,,,,,,,,,,,,,,,,,,,15.520999999999999,
