"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2020/09/21","4회차","","22.7","10.9","4.5","8.3","71.5","2.948","0.091","4.7","7.8","0.000","223","20000","","","","","","","","","","","","","2.742","0.365","2.037","0.040","0.030","12.1","","11000","","","","","","","","","","","","","","","","","","","","35.561",""
"영산포1","2020/09/28","4회차","","21.0","18.8","4.8","9.8","56.2","2.994","0.081","3.8","9.0","정량한계미만","243","112","","","","","","","","","","","","","2.624","0.024","1.930","0.019","0.006","18.8","","80","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/09/28","5회차","","23.5","13.5","6.8","13.5","230.8","4.192","0.083","7.0","8.7","0.000","322","5400","","","","","","","","","","","","","3.904","1.247","1.773","0.019","0.002","22.9","","1200","","","","","","","","","","","","","","","","","","","","17.855",""
"광산","2020/10/05","1회차","","22.2","10.5","5.4","11.7","184.4","4.236","0.094","5.7","8.1","0.000","323","500","0.00000","0.00","0.00005","0.000","0.00088","0.0000000","","","","","","","3.746","1.137","1.761","0.020","0.005","22.1","","420","","","","","","0.00","","","","","","","","","0.0002","","","","","17.341",""
"영산포1","2020/10/05","1회차","","19.9","17.2","4.3","11.0","192.6","3.723","0.153","5.4","8.8","정량한계미만","292","70","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","3.103","0.211","1.921","0.019","0.000","32.8","","40","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/10/12","2회차","","21.2","13.9","4.5","12.9","204.7","4.549","0.113","4.6","8.9","0.000","356","2300","","","","","","","","","","","","","3.986","1.105","2.054","0.019","0.007","24.7","","900","","","","","","","","","","","","","","","","","","","","16.995",""
"영산포1","2020/10/12","2회차","","20.7","12.2","1.1","13.8","245.9","3.713","0.084","5.0","9.0","정량한계미만","282","120","","","","","","","","","","","","","3.362","0.178","2.185","0.025","0.000","18.8","","88","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/10/19","3회차","","17.4","12.6","4.4","11.5","143.3","4.308","0.093","4.7","7.8","0.000","344","1600","","","","","","","","","","","","","3.867","1.018","2.144","0.019","0.001","17.4","","400","","","","","","","","","","","","","","","","","","","","12.330",""
"영산포1","2020/10/19","3회차","","18.7","11.8","3.7","11.5","202.5","3.589","0.093","4.7","9.1","정량한계미만","294","98","","","","","","","","","","","","","3.317","0.298","2.067","0.023","0.005","17.6","","56","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/10/26","4회차","","16.1","12.1","4.6","11.8","116.2","5.857","0.109","5.2","7.6","0.000","404","2400","","","","","","","","","","","","","5.368","2.375","2.397","0.023","0.004","15.8","","1200","","","","","","","","","","","","","","","","","","","","11.913",""
